danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.517,0.363,5,-8.978,1,0.0302,0.784,1.96e-4,0.0958,0.661,168.15,audio_features,6HTFY66ZttBULqR1108Zmy,spotify:track:6HTFY66ZttBULqR1108Zmy,https://api.spotify.com/v1/tracks/6HTFY66ZttBULqR1108Zmy,https://api.spotify.com/v1/audio-analysis/6HTFY66ZttBULqR1108Zmy,182267,3,Me And You
0.285,0.906,5,-9.089,0,0.532,0.112,0,0.499,0.194,170.583,audio_features,2lL43o8HcfcR9dlqhIqXV9,spotify:track:2lL43o8HcfcR9dlqhIqXV9,https://api.spotify.com/v1/tracks/2lL43o8HcfcR9dlqhIqXV9,https://api.spotify.com/v1/audio-analysis/2lL43o8HcfcR9dlqhIqXV9,58200,3,Intro
0.278,0.759,2,-6.397,1,0.323,0.0171,0,0.882,0.65,176.445,audio_features,5YytMOFyaKyMtVz61o7wS7,spotify:track:5YytMOFyaKyMtVz61o7wS7,https://api.spotify.com/v1/tracks/5YytMOFyaKyMtVz61o7wS7,https://api.spotify.com/v1/audio-analysis/5YytMOFyaKyMtVz61o7wS7,167587,4,Step Up (feat. Dej Loaf & Sha Sha)
0.651,0.774,7,-6.258,1,0.3,0.223,0,0.526,0.468,87.104,audio_features,3UY1oaEBh4sDWmT7IwEoWG,spotify:track:3UY1oaEBh4sDWmT7IwEoWG,https://api.spotify.com/v1/tracks/3UY1oaEBh4sDWmT7IwEoWG,https://api.spotify.com/v1/audio-analysis/3UY1oaEBh4sDWmT7IwEoWG,352973,4,Dollar And A Dream (feat. AB Soul)
0.703,0.54,9,-7.336,1,0.198,0.202,0,0.183,0.296,119.988,audio_features,4HLElWheO0EfBtWQFkeOcG,spotify:track:4HLElWheO0EfBtWQFkeOcG,https://api.spotify.com/v1/tracks/4HLElWheO0EfBtWQFkeOcG,https://api.spotify.com/v1/audio-analysis/4HLElWheO0EfBtWQFkeOcG,345960,4,Dedicated
0.669,0.664,5,-9.37,0,0.207,0.098,0,0.138,0.588,93.003,audio_features,1wXXNo9hnf4ucJQAU9uvLg,spotify:track:1wXXNo9hnf4ucJQAU9uvLg,https://api.spotify.com/v1/tracks/1wXXNo9hnf4ucJQAU9uvLg,https://api.spotify.com/v1/audio-analysis/1wXXNo9hnf4ucJQAU9uvLg,185827,4,Bitch You Ain't Shit
0.521,0.572,0,-8.703,1,0.0673,0.0562,0,0.243,0.354,79.562,audio_features,48du5O3ZIlYJ1sJb73ynO8,spotify:track:48du5O3ZIlYJ1sJb73ynO8,https://api.spotify.com/v1/tracks/48du5O3ZIlYJ1sJb73ynO8,https://api.spotify.com/v1/audio-analysis/48du5O3ZIlYJ1sJb73ynO8,223520,4,Summertime (feat. Jelly Roll)
0.75,0.568,10,-8.199,0,0.361,0.252,0,0.577,0.346,99.173,audio_features,2FvpskTQMlonzaEcZIV9m2,spotify:track:2FvpskTQMlonzaEcZIV9m2,https://api.spotify.com/v1/tracks/2FvpskTQMlonzaEcZIV9m2,https://api.spotify.com/v1/audio-analysis/2FvpskTQMlonzaEcZIV9m2,235227,4,Mula (feat. Kanye West)
0.467,0.802,7,-7.093,1,0.309,0.2,0,0.346,0.693,92.987,audio_features,14tdvu8MWvKHDKsrYPjRUz,spotify:track:14tdvu8MWvKHDKsrYPjRUz,https://api.spotify.com/v1/tracks/14tdvu8MWvKHDKsrYPjRUz,https://api.spotify.com/v1/audio-analysis/14tdvu8MWvKHDKsrYPjRUz,278547,4,The Documentary 2
0.451,0.49,2,-10.02,0,0.293,0.303,0,0.154,0.0917,174.466,audio_features,4IU3A6BaSPS76EJY1USePJ,spotify:track:4IU3A6BaSPS76EJY1USePJ,https://api.spotify.com/v1/tracks/4IU3A6BaSPS76EJY1USePJ,https://api.spotify.com/v1/audio-analysis/4IU3A6BaSPS76EJY1USePJ,230867,4,Just Another Day
0.391,0.742,1,-8.762,0,0.396,0.109,0,0.112,0.653,79.734,audio_features,6LvpwZwuZPpotEdVLAGEhW,spotify:track:6LvpwZwuZPpotEdVLAGEhW,https://api.spotify.com/v1/tracks/6LvpwZwuZPpotEdVLAGEhW,https://api.spotify.com/v1/audio-analysis/6LvpwZwuZPpotEdVLAGEhW,327067,4,"LA (feat. Snoop Dogg, will.i.am & Fergie)"
0.526,0.638,1,-10.624,1,0.545,0.466,0,0.279,0.548,128.966,audio_features,1mXCDply28mbOKZT6mzWfu,spotify:track:1mXCDply28mbOKZT6mzWfu,https://api.spotify.com/v1/tracks/1mXCDply28mbOKZT6mzWfu,https://api.spotify.com/v1/audio-analysis/1mXCDply28mbOKZT6mzWfu,154013,5,New York Skit
