"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name"
"60",0.641,0.867,10,-1.511,1,0.0521,0.16,2.12e-06,0.282,0.795,159.555,"audio_features","22ZYK1QRUeCy7faZ8FzRHR","spotify:track:22ZYK1QRUeCy7faZ8FzRHR","https://api.spotify.com/v1/tracks/22ZYK1QRUeCy7faZ8FzRHR","https://api.spotify.com/v1/audio-analysis/22ZYK1QRUeCy7faZ8FzRHR",151400,4,"Dame Tu Amor"
"61",0.645,0.884,10,-3.132,1,0.0362,0.362,0,0.104,0.899,158.613,"audio_features","6eTtcFz5p7a2nPwsDCTG0A","spotify:track:6eTtcFz5p7a2nPwsDCTG0A","https://api.spotify.com/v1/tracks/6eTtcFz5p7a2nPwsDCTG0A","https://api.spotify.com/v1/audio-analysis/6eTtcFz5p7a2nPwsDCTG0A",177040,4,"Por Amarte Así"
"62",0.493,0.938,7,-3.807,1,0.078,0.106,1.07e-05,0.408,0.694,78.708,"audio_features","74asr255RQX7n8BPa5FdzA","spotify:track:74asr255RQX7n8BPa5FdzA","https://api.spotify.com/v1/tracks/74asr255RQX7n8BPa5FdzA","https://api.spotify.com/v1/audio-analysis/74asr255RQX7n8BPa5FdzA",189107,4,"Zapateado Encabronado - Medley"
"63",0.615,0.714,2,-2.972,0,0.0354,0.608,1.09e-05,0.139,0.829,157.474,"audio_features","1jBYN6IEVkExTE3R4O9trC","spotify:track:1jBYN6IEVkExTE3R4O9trC","https://api.spotify.com/v1/tracks/1jBYN6IEVkExTE3R4O9trC","https://api.spotify.com/v1/audio-analysis/1jBYN6IEVkExTE3R4O9trC",199653,4,"Por Tu Amor - Duranguense"
"64",0.822,0.529,5,-6.197,1,0.0388,0.301,0,0.0906,0.975,122.139,"audio_features","33Z5OxL78B6gGbq1GWIfb5","spotify:track:33Z5OxL78B6gGbq1GWIfb5","https://api.spotify.com/v1/tracks/33Z5OxL78B6gGbq1GWIfb5","https://api.spotify.com/v1/audio-analysis/33Z5OxL78B6gGbq1GWIfb5",171360,4,"Lágrimas De Cristal"
"65",0.774,0.331,6,-9.534,1,0.0422,0.964,4.61e-05,0.607,0.599,122.949,"audio_features","7qHPpmIEa0YRnMf1d0XoWj","spotify:track:7qHPpmIEa0YRnMf1d0XoWj","https://api.spotify.com/v1/tracks/7qHPpmIEa0YRnMf1d0XoWj","https://api.spotify.com/v1/audio-analysis/7qHPpmIEa0YRnMf1d0XoWj",107154,4,"QUE DIABLOS HICE (INTERLUDE)"
"66",0.797,0.5,1,-8.939,0,0.0383,0.528,1.55e-06,0.149,0.832,114.054,"audio_features","3vuSsB9MXGKftwFcdPXa5b","spotify:track:3vuSsB9MXGKftwFcdPXa5b","https://api.spotify.com/v1/tracks/3vuSsB9MXGKftwFcdPXa5b","https://api.spotify.com/v1/audio-analysis/3vuSsB9MXGKftwFcdPXa5b",176917,4,"300 Locos"
"67",0.474,0.801,8,-5.978,0,0.375,0.102,0,0.322,0.497,147.356,"audio_features","4huBDGP4I3S0pYI0EaRN1c","spotify:track:4huBDGP4I3S0pYI0EaRN1c","https://api.spotify.com/v1/tracks/4huBDGP4I3S0pYI0EaRN1c","https://api.spotify.com/v1/audio-analysis/4huBDGP4I3S0pYI0EaRN1c",256000,4,"City of Gods"
"68",0.735,0.502,10,-8.154,1,0.0344,0.48,0,0.199,0.947,114.95,"audio_features","31REg67eoHJSvMLUcEmGNj","spotify:track:31REg67eoHJSvMLUcEmGNj","https://api.spotify.com/v1/tracks/31REg67eoHJSvMLUcEmGNj","https://api.spotify.com/v1/audio-analysis/31REg67eoHJSvMLUcEmGNj",195307,4,"El Final De Nuestra Historia"
"69",0.805,0.716,0,-4.498,1,0.039,0.527,0,0.247,0.905,124.832,"audio_features","17IiqbqbVVWMlq6j7xrQaD","spotify:track:17IiqbqbVVWMlq6j7xrQaD","https://api.spotify.com/v1/tracks/17IiqbqbVVWMlq6j7xrQaD","https://api.spotify.com/v1/audio-analysis/17IiqbqbVVWMlq6j7xrQaD",204453,3,"La Buena y la Mala"
"70",0.718,0.621,7,-11.575,1,0.0399,0.0264,0.000438,0.299,0.747,117.848,"audio_features","43LVcSyviitiS5Kv0vzZDD","spotify:track:43LVcSyviitiS5Kv0vzZDD","https://api.spotify.com/v1/tracks/43LVcSyviitiS5Kv0vzZDD","https://api.spotify.com/v1/audio-analysis/43LVcSyviitiS5Kv0vzZDD",273667,4,"La Yaquesita"
"71",0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,124.952,"audio_features","7tGlzXJv6GD5e5qlu5YmDg","spotify:track:7tGlzXJv6GD5e5qlu5YmDg","https://api.spotify.com/v1/tracks/7tGlzXJv6GD5e5qlu5YmDg","https://api.spotify.com/v1/audio-analysis/7tGlzXJv6GD5e5qlu5YmDg",253440,4,"Love Me"
"72",0.774,0.851,11,-2.795,0,0.255,0.0651,0,0.0568,0.695,180.086,"audio_features","1kMUGCt7XLDc5Q64Vl0H8S","spotify:track:1kMUGCt7XLDc5Q64Vl0H8S","https://api.spotify.com/v1/tracks/1kMUGCt7XLDc5Q64Vl0H8S","https://api.spotify.com/v1/audio-analysis/1kMUGCt7XLDc5Q64Vl0H8S",257865,4,"Bellacoso"
